name,address,label,
RAGEBLUE 池袋パルコ,東京都豊島区南池袋1丁目28−2 池袋パルコ 6Ｆ,6,
SPPS 池袋店,東京都豊島区南池袋1丁目22−6,1,
WEGO 池袋P'パルコ店,東京都豊島区東池袋1丁目50−35 池袋Ｐ’パルコ 4Ｆ,4,
ユナイテッドアローズ 池袋店,東京都豊島区南池袋1丁目28−2 池袋パルコ 3Ｆ,3,
dron-pa,東京都豊島区西池袋1丁目2−3,1,
SPPS,東京都豊島区南池袋1丁目22−6,1,
FREAK'S STORE 池袋パルコ店,東京都豊島区南池袋1丁目28−2,1,
SpRay 池袋PARCO店,東京都豊島区南池袋1丁目28−2,1,
MARGARET HOWELL 池袋 東武 メンズ,東京都豊島区西池袋1丁目1−25 5Ｆ 7番地,5,
TEKITOU CLOTHING,東京都豊島区西池袋3丁目33−28 －－－101,1,
SHIPS 池袋西武店,東京都豊島区南池袋1丁目28−1 西武百貨店池袋本店 5Ｆ,5,
EGOIST 池袋PARCO店,東京都豊島区南池袋1丁目28−2 池袋ＰＡＲＣＯ,1,
リリーブラウン ブティック 池袋パルコ店,東京都豊島区南池袋1丁目28−2,1,
URBAN RESEARCH ルミネ池袋店,東京都豊島区西池袋1丁目11−1 2Ｆ,2,
ビームス リミテッドストア 池袋,東京都豊島区西池袋1丁目11−1 ルミネ池袋 Ｂ1Ｆ,-1,
サブストリート (L),東京都豊島区南池袋1丁目28−1,1,
メンズビギ 池袋パルコ店,東京都豊島区南池袋1丁目28−2,1,
アンクルージュ 池袋ルミネ店,東京都豊島区西池袋1丁目11−1 4階,4,
DIESEL 池袋パルコ,東京都豊島区南池袋1丁目28−2,1,
AOKI 池袋東口駅前店,東京都豊島区南池袋1丁目24−2,1,
東京靴流通センター 池袋西武口店,東京都豊島区南池袋1丁目23−9 石丸ビル 1ＦＢ室,1,
REGAL SHOES 池袋西口店,東京都豊島区西池袋1丁目17−6 池袋西口センタービル 1Ｆ,1,
ABC-MART 池袋ANNEX店,東京都豊島区東池袋1丁目15−1 真下ビル 1Ｆ ﾆｭ,1,
RANDA CLEPORTE Echika池袋店,東京都豊島区西池袋3丁目28−14 Ｅｃｈｉｋａ池袋,1,
レディースキッド 池袋店,東京都豊島区南池袋1丁目23−7,1,
ORiental TRaffic ルミネ池袋店,東京都豊島区西池袋1丁目11−1 4Ｆ,4,
ABC-MART池袋パルコ店,東京都豊島区南池袋1丁目28−2 池袋ﾊﾟﾙｺ 6Ｆ,6,
REGAL SHOES 池袋パルコ店,東京都豊島区南池袋1丁目28−2 池袋パルコ 本館 4Ｆ,4,
ABC-MART プレミアステージ ルミネ池袋店,東京都豊島区西池袋1丁目11−1 6階,6,
ABC-MART GRAND STAGE池袋店,東京都豊島区東池袋1丁目28−7,1,
fitfit 池袋ISP店,東京都豊島区南池袋1丁目29−1 池袋ショッピングパーク,1,
チヨダ はきごこち 池袋東武ホープセンター店,東京都豊島区西池袋1丁目15番2号 東武ホープセンタ,1,
ビーマイギフト,東京都豊島区南池袋1丁目28−1,1,
Sanrio Gift Gate 池袋店,東京都豊島区東池袋1丁目12−10 ヤンズビル 1Ｆ・2Ｆ,1,
BRUNO ルミネ池袋,東京都豊島区西池袋1丁目11−1 ルミネ 池袋 7Ｆ,7,
日比谷花壇 西武池袋店,東京都豊島区南池袋1丁目28−1 西武池袋本店地下1階,-1,
青山フラワーマーケット 池袋東武店,東京都豊島区西池袋1丁目1−25 東武百貨店池袋店 2Ｆ 7番地,2,
ライオンズストア 西武池袋本店,東京都豊島区南池袋1丁目28−1,1,
ROJI日本橋 by KOKUBU 池袋店,東京都豊島区西池袋1丁目1−25 東武百貨店池袋店 Ｂ1Ｆ,-1,
青山フラワーマーケット 池袋西武店,東京都豊島区南池袋1丁目28−1 西武百貨店池袋本店 Ｂ1Ｆ,-1,
チケットポート池袋店,東京都豊島区南池袋1丁目28−2 池袋パルコ 6Ｆ,6,
青山フラワーマーケット ルミネ池袋店,東京都豊島区西池袋1丁目11−1 Ｂ1Ｆ,-1,
池袋ロフト,東京都豊島区南池袋1丁目28−1 9階～12階 西武池袋本店,9,
ジョージ ジェンセン,東京都豊島区西池袋1丁目1−25， 東武池袋本店， 2階,2,
PLAZA 池袋パルコ店,東京都豊島区南池袋1丁目28−2 池袋パルコ 本館 Ｍ2階,2.5,?
PLAZA ルミネ池袋店,東京都豊島区西池袋1丁目11−1 5階,5,
ナチュラルキッチンアンド ルミネ池袋店,東京都豊島区西池袋1丁目11−1 7Ｆ,7,
セバスチャン・ブイエ 西武池袋本店,東京都豊島区南池袋1丁目28−1 西武池袋本店食品館Ｂ1Ｆ,-1,
東京鳩居堂 池袋店,東京都豊島区西池袋1丁目1−25 東武百貨店池袋店 7Ｆ,7,
パレフローラ 東武池袋店,東京都豊島区西池袋1丁目1−25 東武百貨店 池袋店 4階,4,
LUSH ｴｷｱ池袋店,東京都豊島区西池袋1丁目1−21 1Ｆ ＥＱＵＩＡ（ｴｷｱ）池袋駅構内地下,1,
LIVING HOUSE. 西武池袋店,東京都豊島区南池袋1丁目28−1 西武池袋本店 7階 中央Ｂ－8,7,
unico 池袋,東京都豊島区西池袋1丁目11−11番地1号 ルミネ池袋店 6Ｆ,6,
Francfranc 池袋パルコ店,東京都豊島区南池袋1丁目28−2 池袋パルコ 5Ｆ,5,
ケユカ 池袋東武ホープセンター店,東京都豊島区西池袋1丁目1−30 池袋駅地下 東武ホープセンタ,1,
ワイズフォーリビング,東京都豊島区南池袋1丁目28−1 池袋西武百貨店7Ｆ,7,
匠大塚 池袋東武店,東京都豊島区西池袋1丁目1−25 1～2番地 本館 5Ｆ 東武百貨店 池袋店,5,
宮田家具店池袋店,東京都豊島区南池袋1丁目25−9,1,
無印良品 ルミネ池袋,東京都豊島区西池袋1丁目11−1 ルミネ池袋店 7Ｆ,7,
リブインコンフォート 西武池袋本店 7階 ベッド＆バス,東京都豊島区南池袋1丁目28−1,1,
無印良品 池袋西武,東京都豊島区南池袋1丁目28−1 1～2Ｆ 別館 西武池袋本店,1,
ベッド専門店 グースカ,東京都豊島区南池袋1丁目25−9,1,
ラルフローレンホーム 西武池袋本店,東京都豊島区南池袋1丁目28−1,1,
BRUNO ルミネ池袋,東京都豊島区西池袋1丁目11−1 ルミネ 池袋 7Ｆ,7,
ナチュラルキッチンアンド ルミネ池袋店,東京都豊島区西池袋1丁目11−1 7Ｆ,7,
インテリアプラス,東京都豊島区池袋2丁目67−1 201,2,
Yogibo Store Esola池袋店,東京都豊島区西池袋1丁目12−1 Ｅｓｏｌａ池袋 2Ｆ,2,
cafe-insquare 池袋駅東口,東京都豊島区東池袋1丁目6−4 伊藤ビル 6Ｆ,6,
喫茶室ルノアール 池袋北口駅前店,東京都豊島区西池袋1丁目28−1 第二西池袋ビル 2Ｆ,2,
ドトールコーヒーショップ 西武池袋駅店,東京都豊島区南池袋1丁目28 西武池袋駅構内,1,
TAMEALS カフェ&バー タミルズ 池袋店,東京都豊島区南池袋1丁目28−1 西武池袋線 地下1階,-1,
カフェ・ベローチェ池袋西口店,東京都豊島区池袋2丁目14−2 二丁目ビル1Ｆ ＪＲＥ南池袋ビル,1,
PRONTO エキア池袋店,東京都豊島区西池袋1丁目1−21,1,
サンマルクカフェ＋R 池袋東口店,東京都豊島区南池袋1丁目24−6 深野ビル 1Ｆ,1,
カフェ・ド・巴里池袋西口店,東京都豊島区西池袋1丁目23−1,1,
椿屋珈琲 池袋茶寮,東京都豊島区東池袋1丁目6−4 伊藤ビル Ｂ1,-1,
喫茶室ルノアール 池袋東口店,東京都豊島区東池袋1丁目40−2 池袋旗ビル 2Ｆ,2,
GOOD MORNING CAFE ルミネ池袋,東京都豊島区西池袋1丁目11−1 8Ｆ イケレス,8,
伯爵 池袋北口店,東京都豊島区西池袋1丁目29−1,1,
BECK'S COFFEE SHOP 池袋メトロポリタン口,東京都豊島区西池袋1丁目28−2,1,
皇琲亭,東京都豊島区東池袋1丁目7−2 1Ｆ・Ｂ1Ｆ 東駒ビル,-1,
パフェテラス ミルキーウェイ,東京都豊島区東池袋1丁目12−8 富士喜ビル 2階,2,
サクラカフェ＆レストラン池袋,東京都豊島区池袋2丁目39−10 1Ｆ サクラホテル池袋 別館 別館,1,
コメダ珈琲店 池袋西口店,東京都豊島区西池袋1丁目24−1,1,
服部珈琲舎,東京都豊島区南池袋1丁目27−5,1,
珈琲茶館 集 池袋店,東京都豊島区東池袋1丁目2−2 東池ビルディングＢ1Ｆ,-1,
スターバックス コーヒー JR池袋駅 西口店,東京都豊島区西池袋1丁目1−25,1,
しゃぶ葉 池袋駅西口店,東京都豊島区西池袋1丁目17−6 池袋西口センタービル Ｂ1,-1,
Tante Grazie,東京都豊島区西池袋5丁目3−2,1,
オールデイダイニング クロスダイン,東京都豊島区西池袋1丁目6−1,1,
オーシャンダイニング 池袋店,東京都豊島区池袋2丁目59−9 ラレブ池袋2Ｆ,2,
キッチン チェック,東京都豊島区西池袋1丁目37−12 1Ｆ,1,
78 ステーキ,東京都豊島区西池袋1丁目40−5 名取ビル 3Ｆ,3,
池袋駅西口ランチ 豚丼 魔神豚 池袋ポーたまコラボ店,東京都豊島区池袋2丁目2−4 1Ｆ Ａ号室 ポークたまごおにぎりカフェ 藤井ビル,1,
キッチンABC 西池袋店,東京都豊島区西池袋3丁目26−6,1,
池袋 ブルーオーシャングリル,東京都豊島区西池袋1丁目9−2 池袋デュープレックスタワー 1Ｆ,1,
洋庖丁(ヨウボウチョウ) 池袋店,東京都豊島区池袋2丁目41−6 第1 ジャンポールビル 1Ｆ,1,
アガリコオリエンタルビストロ 池袋本店,東京都豊島区池袋2丁目10−6,1,
赤バルRETZE池袋店,東京都豊島区西池袋3丁目31−15 ロイヤルプラザ2,1,
ふるはうす,東京都豊島区池袋4丁目26−11 中本ビル 002,1,
タイストリートフードbyクルン・サイアム 池袋店,東京都豊島区西池袋1丁目1−25,1,
ガスト 池袋西口店,東京都豊島区池袋2丁目7−3 オアシス 1階,1,
キッチンABC 池袋東口店,東京都豊島区南池袋2丁目16−2,1,
鉄板焼き 山海亭 (ホテルメトロポリタンB1),東京都豊島区西池袋1丁目6−1 ホテルメトロポリタン Ｂ1Ｆ,-1,
中国東北家郷料理 永利 池袋西口店,東京都豊島区池袋2丁目3−3,1,
クンヤー,東京都豊島区池袋2丁目4−1,1,
爽亭 JR池袋駅中央口（改札内）,東京都豊島区南池袋1丁目28−1 中央口（改札内 ＪＲ池袋駅,1,
タイトーステーション 池袋ロサ店,東京都豊島区西池袋1丁目37−12 1Ｆ,1,
